kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{addOrUpdate(DD)Lorg/jfree/data/xy/XYDataItem; 0.0, lineNumber=527, susp=0.5]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{addOrUpdate(Ljava/lang/Number;Ljava/lang/Number;)Lorg/jfree/data/xy/XYDataItem; 0.0, lineNumber=564, susp=0.5]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{addOrUpdate(Ljava/lang/Number;Ljava/lang/Number;)Lorg/jfree/data/xy/XYDataItem; 0.0, lineNumber=570, susp=0.33333333333333337]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{addOrUpdate(Ljava/lang/Number;Ljava/lang/Number;)Lorg/jfree/data/xy/XYDataItem; 0.0, lineNumber=563, susp=0.33333333333333337]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{addOrUpdate(Ljava/lang/Number;Ljava/lang/Number;)Lorg/jfree/data/xy/XYDataItem; 0.0, lineNumber=575, susp=0.25]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{addOrUpdate(Ljava/lang/Number;Ljava/lang/Number;)Lorg/jfree/data/xy/XYDataItem; 0.0, lineNumber=574, susp=0.25]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{addOrUpdate(Ljava/lang/Number;Ljava/lang/Number;)Lorg/jfree/data/xy/XYDataItem; 0.0, lineNumber=548, susp=0.25]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{addOrUpdate(Ljava/lang/Number;Ljava/lang/Number;)Lorg/jfree/data/xy/XYDataItem; 0.0, lineNumber=547, susp=0.25]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{addOrUpdate(Ljava/lang/Number;Ljava/lang/Number;)Lorg/jfree/data/xy/XYDataItem; 0.0, lineNumber=546, susp=0.25]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{addOrUpdate(Ljava/lang/Number;Ljava/lang/Number;)Lorg/jfree/data/xy/XYDataItem; 0.0, lineNumber=541, susp=0.25]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{indexOf(Ljava/lang/Number;)I 0.0, lineNumber=590, susp=0.125]
kali-susp:Candidate [className=org.jfree.data.xy.XYDataItem, methodName=org.jfree.data.xy.XYDataItem{compareTo(Ljava/lang/Object;)I 0.0, lineNumber=191, susp=0.09090909090909094]
kali-susp:Candidate [className=org.jfree.data.xy.XYSeries, methodName=org.jfree.data.xy.XYSeries{indexOf(Ljava/lang/Number;)I 0.0, lineNumber=589, susp=0.052631578947368474]
kali-susp:Candidate [className=org.jfree.data.xy.XYDataItem, methodName=org.jfree.data.xy.XYDataItem{compareTo(Ljava/lang/Object;)I 0.0, lineNumber=203, susp=0.011904761904761862]
kali-susp:Candidate [className=org.jfree.data.xy.XYDataItem, methodName=org.jfree.data.xy.XYDataItem{compareTo(Ljava/lang/Object;)I 0.0, lineNumber=187, susp=0.011904761904761862]
kali-susp:Candidate [className=org.jfree.data.xy.XYDataItem, methodName=org.jfree.data.xy.XYDataItem{compareTo(Ljava/lang/Object;)I 0.0, lineNumber=183, susp=0.011904761904761862]
kali-susp:Candidate [className=org.jfree.data.xy.XYDataItem, methodName=org.jfree.data.xy.XYDataItem{compareTo(Ljava/lang/Object;)I 0.0, lineNumber=181, susp=0.011904761904761862]
kali-susp:Candidate [className=org.jfree.data.xy.XYDataItem, methodName=org.jfree.data.xy.XYDataItem{compareTo(Ljava/lang/Object;)I 0.0, lineNumber=180, susp=0.011904761904761862]
