kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{trimToContentHeight(Lorg/jfree/data/Range;)Lorg/jfree/data/Range; 0.0, lineNumber=453, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{trimToContentWidth(Lorg/jfree/data/Range;)Lorg/jfree/data/Range; 0.0, lineNumber=443, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.AbstractBlock, methodName=org.jfree.chart.block.AbstractBlock{trimToContentWidth(Lorg/jfree/data/Range;)Lorg/jfree/data/Range; 0.0, lineNumber=438, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=488, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=485, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=484, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=481, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=480, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=477, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=476, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=472, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=468, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=465, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=464, susp=Infinity]
kali-susp:Candidate [className=org.jfree.chart.block.BorderArrangement, methodName=org.jfree.chart.block.BorderArrangement{arrangeFF(Lorg/jfree/chart/block/BlockContainer;Ljava/awt/Graphics2D;Lorg/jfree/chart/block/RectangleConstraint;)Lorg/jfree/chart/util/Size2D; 0.0, lineNumber=463, susp=Infinity]
