kali-susp:Candidate [className=org.apache.commons.math3.distribution.HypergeometricDistribution, methodName=org.apache.commons.math3.distribution.HypergeometricDistribution{getNumericalVariance()D 0.0, lineNumber=279, susp=0.05263157894736842]
kali-susp:Candidate [className=org.apache.commons.math3.distribution.AbstractIntegerDistribution, methodName=org.apache.commons.math3.distribution.AbstractIntegerDistribution{inverseCumulativeProbability(D)I 0.0, lineNumber=137, susp=0.015873015873015872]
kali-susp:Candidate [className=org.apache.commons.math3.distribution.AbstractIntegerDistribution, methodName=org.apache.commons.math3.distribution.AbstractIntegerDistribution{inverseCumulativeProbability(D)I 0.0, lineNumber=132, susp=0.015873015873015872]
kali-susp:Candidate [className=org.apache.commons.math3.distribution.AbstractIntegerDistribution, methodName=org.apache.commons.math3.distribution.AbstractIntegerDistribution{inverseCumulativeProbability(D)I 0.0, lineNumber=129, susp=0.014285714285714285]
kali-susp:Candidate [className=org.apache.commons.math3.distribution.AbstractIntegerDistribution, methodName=org.apache.commons.math3.distribution.AbstractIntegerDistribution{inverseCumulativeProbability(D)I 0.0, lineNumber=119, susp=0.01282051282051282]
kali-susp:Candidate [className=org.apache.commons.math3.distribution.AbstractIntegerDistribution, methodName=org.apache.commons.math3.distribution.AbstractIntegerDistribution{inverseCumulativeProbability(D)I 0.0, lineNumber=109, susp=0.01282051282051282]
kali-susp:Candidate [className=org.apache.commons.math3.distribution.AbstractIntegerDistribution, methodName=org.apache.commons.math3.distribution.AbstractIntegerDistribution{inverseCumulativeProbability(D)I 0.0, lineNumber=106, susp=0.01282051282051282]
kali-susp:Candidate [className=org.apache.commons.math3.distribution.AbstractIntegerDistribution, methodName=org.apache.commons.math3.distribution.AbstractIntegerDistribution{inverseCumulativeProbability(D)I 0.0, lineNumber=101, susp=0.011764705882352941]
kali-susp:Candidate [className=org.apache.commons.math3.random.AbstractWell, methodName=org.apache.commons.math3.random.AbstractWell{setSeed([I)V 0.0, lineNumber=161, susp=8.071025020177562E-4]
kali-susp:Candidate [className=org.apache.commons.math3.random.AbstractWell, methodName=org.apache.commons.math3.random.AbstractWell{setSeed([I)V 0.0, lineNumber=154, susp=8.071025020177562E-4]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{delete(Ljava/lang/Comparable;)Z 0.0, lineNumber=89, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{delete(Ljava/lang/Comparable;)Z 0.0, lineNumber=86, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{delete(Ljava/lang/Comparable;)Z 0.0, lineNumber=82, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node{getPrevious()Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=310, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node{getPrevious()Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=304, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree$Node{getPrevious()Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=302, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{getNotLarger(Ljava/lang/Comparable;)Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=192, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{getNotLarger(Ljava/lang/Comparable;)Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=186, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree, methodName=org.apache.commons.math3.geometry.partitioning.utilities.AVLTree{getNotLarger(Ljava/lang/Comparable;)Lorg/apache/commons/math3/geometry/partitioning/utilities/AVLTree$Node; 0.0, lineNumber=185, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.distribution.PascalDistribution, methodName=org.apache.commons.math3.distribution.PascalDistribution{probability(I)D 0.0, lineNumber=138, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.random.EmpiricalDistribution, methodName=org.apache.commons.math3.random.EmpiricalDistribution{density(D)D 0.0, lineNumber=617, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.random.EmpiricalDistribution, methodName=org.apache.commons.math3.random.EmpiricalDistribution{inverseCumulativeProbability(D)D 0.0, lineNumber=703, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.random.EmpiricalDistribution, methodName=org.apache.commons.math3.random.EmpiricalDistribution{inverseCumulativeProbability(D)D 0.0, lineNumber=686, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.random.EmpiricalDistribution, methodName=org.apache.commons.math3.random.EmpiricalDistribution{inverseCumulativeProbability(D)D 0.0, lineNumber=682, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.random.EmpiricalDistribution, methodName=org.apache.commons.math3.random.EmpiricalDistribution{inverseCumulativeProbability(D)D 0.0, lineNumber=678, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.random.EmpiricalDistribution, methodName=org.apache.commons.math3.random.EmpiricalDistribution{cumulativeProbability(D)D 0.0, lineNumber=641, susp=0.0]
kali-susp:Candidate [className=org.apache.commons.math3.random.EmpiricalDistribution, methodName=org.apache.commons.math3.random.EmpiricalDistribution{cumulativeProbability(D)D 0.0, lineNumber=639, susp=0.0]
